Timestamp,Label_ML,Cam_Face_Det,Cam_Pitch,Cam_Yaw,Cam_EAR,Gyro_Acc_X,Gyro_Acc_Y,Gyro_Acc_Z,Gyro_Rot_X,Gyro_Rot_Y,Gyro_Rot_Z,Audio_dB,Light_Lux,Temp_C,Humidity_Perc,Gas_Pin,Alcohol_Pin
12:58:20.048,VIGILE,0,0.0,0.0,0.0,-4.448,7.527,-3.177,-0.305,0.092,-0.006,82.11,0.0,30.7,28,1,1
12:58:20.548,VIGILE,0,0.0,0.0,0.0,-4.513,7.487,-3.12,-0.271,0.096,-0.057,80.12,0.0,30.7,28,1,1
12:58:21.048,VIGILE,0,0.0,0.0,0.0,-4.776,7.537,-3.716,-0.059,-0.017,0.028,81.05,0.0,30.7,28,1,1
12:58:21.548,VIGILE,0,0.0,0.0,0.0,-4.477,7.434,-3.361,-0.069,0.086,-0.049,79.99,0.0,30.7,28,1,1
12:58:22.049,VIGILE,0,0.0,0.0,0.0,-4.705,7.683,-3.701,-0.184,0.03,-0.002,81.24,0.0,30.7,28,1,1
12:58:22.549,VIGILE,0,0.0,0.0,0.0,-4.561,7.547,-3.436,-0.135,-0.008,0.072,83.04,0.0,30.7,28,1,1
12:58:23.049,VIGILE,0,0.0,0.0,0.0,-4.494,7.501,-3.242,-0.17,0.065,-0.018,81.83,0.0,30.7,28,1,1
12:58:23.549,VIGILE,0,0.0,0.0,0.0,-4.434,7.391,-3.318,-0.035,0.085,-0.051,80.76,0.0,30.7,28,1,1
12:58:24.049,VIGILE,0,0.0,0.0,0.0,-4.638,7.618,-3.757,-0.095,0.048,-0.013,81.15,0.0,30.7,28,1,1
12:58:24.549,VIGILE,0,0.0,0.0,0.0,-4.58,7.503,-3.199,-0.126,0.022,0.058,80.96,0.0,30.7,28,1,1
12:58:25.049,VIGILE,0,0.0,0.0,0.0,-4.65,7.384,-3.326,-0.096,0.125,-0.106,78.93,0.0,30.7,28,1,1
12:58:25.549,VIGILE,0,0.0,0.0,0.0,-4.839,7.558,-3.675,-0.135,0.031,0.021,80.86,0.0,30.7,28,1,1
12:58:26.049,VIGILE,0,0.0,0.0,0.0,-4.515,7.391,-3.199,-0.171,0.097,-0.06,80.04,0.0,30.7,28,1,1
12:58:26.549,VIGILE,0,0.0,0.0,0.0,-4.647,7.527,-3.567,-0.045,0.109,-0.086,81.3,0.0,30.7,28,1,1
12:58:27.049,VIGILE,0,0.0,0.0,0.0,-4.69,7.597,-3.757,-0.043,-0.014,0.072,81.82,0.0,30.7,28,1,1
12:58:27.549,VIGILE,0,0.0,0.0,0.0,-4.472,7.496,-3.168,-0.201,0.067,-0.007,82.13,0.0,30.8,29,1,1
12:58:28.049,VIGILE,0,0.0,0.0,0.0,-4.436,7.412,-3.385,-0.07,0.102,-0.066,80.88,0.0,30.8,29,1,1
12:58:28.549,VIGILE,0,0.0,0.0,0.0,-4.705,7.609,-3.663,-0.143,0.058,-0.018,81.82,0.0,30.8,29,1,1
12:58:29.050,VIGILE,0,0.0,0.0,0.0,-4.492,7.539,-3.285,-0.183,0.03,0.054,81.7,0.0,30.8,29,1,1
12:58:29.550,VIGILE,0,0.0,0.0,0.0,-4.47,7.422,-3.268,-0.123,0.105,-0.076,81.4,0.0,30.8,29,1,1
12:58:30.050,VIGILE,0,0.0,0.0,0.0,-4.642,7.535,-3.701,-0.034,0.043,0.025,80.59,0.0,30.8,29,1,1
12:58:30.550,VIGILE,0,0.0,0.0,0.0,-4.7,7.58,-3.443,-0.27,0.06,0.001,81.76,0.0,30.8,29,1,1
12:58:31.050,VIGILE,0,0.0,0.0,0.0,-4.379,7.432,-3.122,-0.116,0.074,-0.037,81.35,0.0,30.8,29,1,1
12:58:31.550,VIGILE,0,0.0,0.0,0.0,-4.685,7.427,-3.414,-0.039,0.121,-0.062,80.27,0.0,30.8,29,1,1
12:58:32.050,VIGILE,0,0.0,0.0,0.0,-4.697,7.556,-3.661,-0.167,0.058,-0.006,81.57,0.0,30.8,29,1,1
12:58:32.550,VIGILE,0,0.0,0.0,0.0,-4.657,7.456,-3.316,-0.267,0.063,-0.006,81.88,0.0,30.8,29,1,1
12:58:33.050,VIGILE,0,0.0,0.0,0.0,-4.372,7.489,-3.28,-0.189,0.088,0.014,81.87,0.0,30.8,29,1,1
12:58:33.550,VIGILE,0,0.0,0.0,0.0,-4.468,7.427,-3.194,-0.229,0.094,-0.104,80.5,0.0,30.8,29,1,1
12:58:34.050,VIGILE,0,0.0,0.0,0.0,-4.468,7.408,-3.393,-0.043,0.093,-0.058,81.8,0.0,30.8,29,1,1
12:58:34.550,VIGILE,0,0.0,0.0,0.0,-4.681,7.549,-3.637,-0.156,0.092,-0.061,81.08,0.0,30.8,29,1,1
12:58:35.050,VIGILE,0,0.0,0.0,0.0,-4.702,7.592,-3.709,-0.032,-0.013,0.064,79.81,0.0,30.8,29,1,1
