[2026-04-13 18:56:43] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:56:44] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:56:45] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:56:46] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:56:47] Action: EMERGENCY_STOP_VEHICLE | Reason: ML_MALORE_DETECTED | Warnings: 1
[2026-04-13 18:56:48] Action: EMERGENCY_STOP_VEHICLE | Reason: ML_MALORE_DETECTED | Warnings: 1
[2026-04-13 18:56:49] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:56:50] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:56:51] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:56:52] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:56:53] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:56:54] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:56:55] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:56:56] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:56:57] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:56:58] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:56:59] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:00] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:01] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:02] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:03] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:04] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:05] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:06] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:07] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:08] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:09] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:10] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:11] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:12] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:13] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:14] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:15] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:16] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:17] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:18] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:19] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:20] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:21] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:22] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:23] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:24] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:25] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:26] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:27] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:29] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:30] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:31] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:32] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:33] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:34] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:35] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:36] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:37] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:38] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:39] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:40] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:41] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:42] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:43] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:44] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:45] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:46] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:47] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:48] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:49] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:50] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:51] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:52] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:57:53] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:54] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:55] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:56] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:57] Action: TRIGGER_HIGH_ALARM | Reason: ML_SONNOLENZA_DETECTED | Warnings: 1
[2026-04-13 18:57:58] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:57:59] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
[2026-04-13 18:58:00] Action: TRIGGER_LOW_ALARM | Reason: ML_DISTRAZIONE_DETECTED | Warnings: 1
[2026-04-13 18:58:01] Action: NORMAL_OPERATION | Reason: DRIVER_VIGILE | Warnings: 1
